ArmCount,Biomarkers,Condition,Controls,DevStatus,DevStatusId,Drug,DrugId,EnrollmentCount,Interventions,Patients,ProtocolAcronym,ProtocolTitle,Reference,Sponsor,TrialId,TrialStartDate,TrialStatus
1,FEV1; FVC,Asthma,null,Phase 3 Clinical,C3,"ciclesonide (metered dose inhaler), Teijin/Covis/AstraZeneca",12803,456,ciclesonide,456,null,Efficacy of Ciclesonide Versus Placebo Administered Either as Once Daily or Twice Daily in Patients Treated Previously With an Inhaled Corticosteroid,EFC6163; NCT00174733; XRP1526B/3030,"Sanofi SA, Takeda Pharmaceuticals International GmbH",22084,"JULY     , 31, 2005",Completed
2,null,Hypertrophic skin disease,null,Phase 4 Clinical,C4,"triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",12937,60,5-fluorouracil; bleomycin; triamcinolone acetonide,60,null,"Efficacy and Safety of Intralesional Bleomycin in Comparision to Combination of Intralesional 5-Fluorouracil and Triamcinolone Acetonide in Patients of Keloid and Hypertrophic Scars: A Randomized, Open-Labelled, Comparative Study",CTRI/2013/11/004155,"Government Medical College, Bhavnagar",162474,"MARCH    , 01, 2011",Completed
1,null,Inflammatory disease,null,Phase 1 Clinical,C1,PF-4308515,64584,58,PF-04308515,58,null,Multiple-Dose Escalation Trial Of PF-04308515 In Healthy Volunteers,B0861002; NCT01101932,Pfizer Inc,65603,"MARCH    , 31, 2010",Completed
2+,null,Crohns disease,Entocort,Phase not specified,NS,"budesonide (oral capsule/enema, Crohn's disease/microsopic colitis/ulcerative colitis), AstraZeneca/ Tillotts Pharma/ Perrigo",55981,100,ciprofloxacin; metronidazole; trimethoprim,100,null,"A Pilot, Randomized Study to Compare Antibiotic Therapy (Ciprofloxacin, Trimethoprim and Metronidazole) with Standard Therapy (Budesonide) in the Treatment of Active Crohns Disease",UKCRN 13163,Royal Liverpool and Broadgreen University Hospitals NHS Trust,116894,null,Not yet recruiting
2,FEV1; PEF,Asthma,null,Phase not specified,NS,"triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",12937,164,salmeterol; triamcinolone acetonide,164,SCOS,"A 28-week, randomized, triple-blinded, placebo-controlled, parallel-group study to assess the effectiveness of long-acting beta-2-agonist, salmeterol monotherapy versus continued therapy with inhaled corticosteroids (ICS) in patients with persistent asthma",SCOS,University of California,76806,"FEBRUARY , 28, 1997",Completed
1,null,Perennial allergic rhinitis,null,Phase 4 Clinical,C4,"triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",12937,651,triamcinolone acetonide,651,null,"A phase IV, open-label study to assess the safety and efficacy of Nasacort in patients with seasonal and perennial allergic rhinitis",XRG5029C/4005,Sanofi SA,89194,"MARCH    , 22, 2002",No longer recruiting
2,null,Seasonal allergic rhinitis,"budesonide (inhaled formulations), AstraZeneca",Phase 4 Clinical,C4,"triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",12937,476,triamcinolone acetonide,476,null,"A phase IV, multicenter, randomized, single-blind, active-controlled, parallel group study to assess the safety and efficacy of Nasacort compared to Rhinocort Aqua in patients with seasonal allergic rhinitis",XRG5029C/4007,Sanofi SA,91058,"FEBRUARY , 12, 2003",Status not specified
2,null,Skin allergy,methylprednisolone aceponate,Phase 3 Clinical,C3,"clobetasol propionate foam, Connetics",18168,82,"clobetasol propionate foam, Connetics",82,null,"Randomized Study on the Effectiveness, Safety and Acceptability Of Clobetasol Propionate Foam-cooled (OLUX) in Comparison With Cream Aceponato Methylprednisolone in the Treatment of Allergic Contact Dermatitis",EudraCT 2008-004331-38; olux 01/08,Mipharm SpA,117327,"AUGUST   , 28, 2008",Completed
1,null,Inflammatory disease,null,Phase 2a Clinical,C2A,"difluprednate (ophthalmic emulsion, ocular inflammation/pain ), Alcon",55599,24,difluprednate,24,null,Study of Difluprednate Opthalmic Emulsion in the Treatment of Postoperative Inflammation,NCT00407225; SJE2079/2-01-PC,Sirion Therapeutics Inc,21570,"DECEMBER , 31, 1999",Completed
2,null,Seasonal allergic rhinitis,null,Phase 3 Clinical,C3,"fluticasone furoate (nasal, allergic rhinitis), GSK",42259,237,"cetirizine; fluticasone furoate (nasal, allergic rhinitis), GSK",237,null,"A Multicenter, Randomized, Double-blind, Double-dummy, Parallel Group Study of Intranasal Fluticasone Once Daily Compared with Once-Daily Cetirizine in the Treatment of Seasonal Allergic Rhinitis",FNM40072,GlaxoSmithKline plc,153743,null,Completed
1,null,Asthma,null,Phase 3 Clinical,C3,"beclomethasone dipropionate, (CFC-free), Teva",44414,440,Qvar,440,null,Evaluation of Two Doses of Qvar by Breath Operated and Metered Dose Inhalers in Asthmatic Children,IXR-302-25-197; NCT00094016,Teva Pharmaceutical Industries Ltd,22290,"OCTOBER  , 31, 2004",Completed
1,null,Dermatitis,null,Phase 2 Clinical,C2,"triamcinolone acetonide (DuraPeel cream, dermatitis/psoriasis), Nuvo Research",64063,56,"triamcinolone acetonide (DuraPeel cream, dermatitis), Nuvo Research",56,TAC-202,Safety and Efficacy Study of Triamcinolone Acetonide DuraPeel to Treat Hand Dermatitis,NCT00890968; TAC-202; TAC-202,ZARS Pharma Inc,88586,"APRIL    , 30, 2009",Completed
2,null,Choroidal neovascularization,verteporfin,Phase 3 Clinical,C3,"triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",12937,400,triamcinolone acetonide; verteporfin,400,TPDT,"The Safety and Efficacy of Posterior Juxta-scleral (40 mg) or Intra-vitreal (4 mg) Triamcinolone Acetonide, in Addition to Verteporfin Photodynamic Therapy for Choroidal Neovascularization (CNV), in Age-related Macular Degeneration (AMD): A Randomized, Controlled Trial",ISRCTN81615611; NRR Pub ID N0503172670 (03428); TPDT,Newcastle Upon Tyne Hospitals NHS Trust,122573,"OCTOBER  , 01, 2005",Completed
1,FEV1; Nitric oxide,Asthma,null,Phase 2 Clinical,C2,"budesonide (controlled release/inhaled/AKITA, adult asthma), Vectura",83838,40,"budesonide (controlled release/inhaled/AKITA, adult asthma),  Activaero",40,null,"An Open-Label Randomized Pilot Trial to Evaluate Tolerability, Safety and Applicability of AKITA Inhaled Budesonide Suspension in Children aged 3 to 11 years with Mild to Moderate Asthma",Acti-SCIPE-001; EudraCT 2010-023981-27,Activaero GmbH,118612,"MARCH    , 08, 2011",Completed
2,null,Chronic obstructive pulmonary disease,null,Phase 1 Clinical,C1,"fluticasone propionate + salmeterol xinafoate (Easyhaler, asthma/COPD), Orion",81111,48,"fluticasone propionate + salmeterol (asthma and COPD), GlaxoSmithKline; fluticasone propionate + salmeterol xinafoate (Easyhaler, asthma/COPD), Orion",48,null,Comparison of Salmeterol and Fluticasone Propionate Absorption From Salmeterol/Fluticasone Easyhaler With Seretide Diskus,3106008; EUDRACT 2012-003782-18; NCT01856621,Orion Corp,132070,"MAY      , 31, 2013",Completed
2,null,Age related macular degeneration,null,Phase not specified,NS,"triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",12937,200,transpupillary thermal rherapy; triamcinolone acetonide,200,null,Intravitreal Triamcinolone with Transpupillary Thermal Therapy (TTT) for Subfoveal Choroidal Neovascularization in Age Related Macular Degeneration,ISRCTN74123635,Asociacion Para Evitar la Ceguera en Mexico,122141,"FEBRUARY , 01, 2004",Not yet recruiting
1,null,Age related macular degeneration,null,Phase 2 Clinical,C2,"triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",12937,80,triamcinolone acetonide; verteporfin,80,null,"A Pilot Study to Examine the Safety and Efficacy of Posterior Juxtascleral Triamcinolone Acetonide Administration, in Addition to Visudyne Photoynamic Therapy for Predominantly Classic Choroidal Neovascularization Secondary to Age Related Macular Degeneration: An Open-Label, Randomized, Active-Controlled Trial",EudraCT 2005-002466-11; version125/05/05,Kings College Hospital NHS Trust,142831,"JANUARY  , 03, 2006",Terminated
2,null,Diabetic macular edema,ranibizumab,Phase 2 Clinical,C2,"triamcinolone acetonide (intravitreal injection, diabetic macular edema), Wakamoto/ Hanmi",81991,50,ranibizumab; triamcinolone acetonide,50,null,Combination therapy for DME,UMIN000021630,Mie University School of Medicine,256819,"FEBRUARY , 01, 2015",Completed
4,Eosinophils; Forced expiratory volume,Chronic obstructive pulmonary disease,Symbicort Turbuhaler,Phase 3 Clinical,C3,"budesonide + formoterol (inhalant aerosol, chronic obstructive pulmonary disease), Pearl Therapeutics",70143,1800,PT-003; PT-009; PT-010,1900,KRONOS,"A Randomized, Double-Blind, Parallel-Group, 24-Week, Chronic-Dosing, Multicenter Study to Assess the Efficacy and Safety of PT-010, PT-003, and PT-009 Compared With Symbicort Turbuhaler",JapicCTI-184079; KRONOS; NCT02497001; PT010006,Pearl Therapeutics Inc,234795,"AUGUST   , 10, 2015",Completed
3,null,Asthma,"budesonide (inhaled formulations), AstraZeneca; procaterol hydrochloride (Meptin Air)",Phase 1 Clinical,C1,"budesonide + procaterol hydrochloride (MDI formulation, asthma), Intech Biopharm",91606,24,"budesonide + procaterol hydrochloride (MDI formulation, asthma), Intech Biopharm",24,null,"Bioavailability Study of SYN-006, Pulmicort pMDI and Meptin Air in Healthy Adult",MCPK09003J1; NCT02165046,Intech Biopharm Ltd,197305,"FEBRUARY , 29, 2012",Completed
1,null,Diabetic macular edema,null,Phase 2 Clinical,C2,"difluprednate (ophthalmic emulsion, ocular inflammation/pain ), Alcon",55599,150,"difluprednate (ophthalmic emulsion, ocular inflammation/pain ), Alcon",150,null,Phase II study of Efficacy and Safety of SJE-2079 in the Treatment for Diabetic Macular Edema,JPRN-UMIN000005648,Senju Usa Inc,124785,"OCTOBER  , 01, 2010",Completed
1,Forced expiratory volume; Hydrocortisone; PR interval; Peak expiratory flow rate; QRS complex; QT interval,Asthma,null,Phase 1 Clinical,C1,"fluticasone furoate (inhaled, respiratory disorders), GlaxoSmithKline",57097,20,GW-685698X,20,null,Single-Dose GW-685698X Magnesium Stearate Study In Asthmatic Patients,HZA108799; NCT00444509,GlaxoSmithKline plc,22276,"FEBRUARY , 17, 2007",Completed
1,null,Pain,null,Phase 4 Clinical,C4,"triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",12937,60,triamcinolone acetonide,60,null,To Determine the Efficacy of Subacromial Bursa Corticosteroid Injection in Stroke Patients With Periarticular Shoulder Disorder,AJIRB-MED-CT4-09-124; KCT0000104,Ajou University Hospital,127285,"AUGUST   , 20, 2009",Completed
1,null,End stage renal disease,null,Phase 1 Clinical,C1,"deflazacort (oral tablet/suspension, Duchenne muscular dystrophy), PCT Therapeutics",86985,16,deflazacort,16,null,A Single-Dose Evaluation of the Effects of Renal Impairment on Deflazacort Pharmacokinetics,MP-104-CL-024; NCT02286622,PTC Therapeutics Inc,215407,"DECEMBER , 31, 2014",Completed
1,null,Osteoarthritis,null,Phase 3b Clinical,C3B,"triamcinolone acetonide (sustained-release, pain), Flexion",72124,208,Zilretta,208,null,Study to Assess the Safety of Repeat Administration of FX-006 Administered to Patients With Osteoarthritis of the Knee,FX006-2016-011; NCT03046446,Flexion Therapeutics Inc,287683,"FEBRUARY , 21, 2017",Completed
1,null,Lichen,null,Phase 2 Clinical,C2,"triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",12937,60,triamcinolone acetonide,60,null,An Evaluation of The Assistant Efficacy of Periodontal Treatment for The Oral Erosion Lichen Planus and The Post-Treatment,ChiCTR-TRC-13004128,Sichuan University,168620,"APRIL    , 01, 2012",Recruiting
2,null,Herpesvirus infection,acyclovir,Phase 3 Clinical,C3,"aciclovir + hydrocortisone (dermatological), Medivir",17335,201,ME-609,201,null,Study of ME-609 and Acyclovir for Treatment of Herpes Simplex Labialis in Immunocompromised Patients,609-06; NCT00735761,Medivir AB,23402,"DECEMBER , 31, 2006",Completed
1,Cytokine,Ulcerative colitis,null,Phase not specified,NS,"triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",12937,100,triamcinolone acetonide,100,null,Periappendiceal Injection of Steroids in Ulcerative Colitis,CTRI/2012/04/002605; Project number: P-130,Postgraduate Institute of Medical Education and Research,128187,"JULY     , 01, 2012",Not yet recruiting
1,null,Rheumatoid arthritis,null,Phase 0 Clinical,C0,"triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",12937,60,triamcinolone acetonide,60,null,Effectiveness Intra-articular Corticosteroid,IIA- 3131- AR; NCT01851278,Universidade Federal de Sao Paulo - UNIFESP,129636,"APRIL    , 30, 2013",Recruiting
4,null,Chronic obstructive pulmonary disease,"Carbomix granules; fluticasone propionate + salmeterol (asthma and COPD), GlaxoSmithKline; fluticasone propionate + salmeterol (asthma and COPD), GlaxoSmithKline",Phase 1 Clinical,C1,"fluticasone propionate + salmeterol xinafoate (Easyhaler, asthma/COPD), Orion",81111,129,Carbomix granules; fluticasone propionate + salmeterol xinafoate; fluticasone propionate + salmeterol xinafoate,129,null,Pharmacokinetic Study Comparing Salmeterol/Fluticasone Easyhaler Products and Seretide Diskus,3106009; NCT02162485,Orion Corp,196211,"JUNE     , 30, 2014",Completed
1,null,Allergic rhinitis,null,Phase 2 Clinical,C2,"fluticasone furoate (nasal, allergic rhinitis), GSK",42259,102,GW-685698,102,null,A Pilot Study In Adults And Adolescents With Irritant (Non-Allergic) Rhinitis,2015-004888-37; FFR111158; NCT00730756,GlaxoSmithKline plc,22961,"MARCH    , 31, 2008",Completed
1,Collagen; Lymphocytes,Colitis,null,Phase 3 Clinical,C3,"budesonide (gastroresistant capsule, Crohn's disease/ulcerative colitis), Dr Falk Pharma/Salix",59671,106,budesonide,106,null,Budesonide for Induction of Remission in Incomplete Microscopical Colitis,2013-001912-31; BUG-3/MIC; NCT02142634,Dr Falk Pharma GmbH,188822,"MAY      , 31, 2014",Recruiting
3,Blood pressure; Heart rate; Hydrocortisone; Peak expiratory flow rate; Potassium,Chronic obstructive pulmonary disease,Avamys; Relovair,Phase 1 Clinical,C1,"fluticasone furoate + vilanterol trifenatate  (oral inhalant, asthma/COPD), GlaxoSmithKline",59060,16,vilanterol,16,null,Comparing Two Respiratory Drugs in Combination and Separately From a Novel Inhaler Device in Healthy Japanese Subjects,HZA102940; NCT00625196,GlaxoSmithKline plc,23384,"FEBRUARY , 27, 2008",Completed
2,Intraocular pressure,Diabetic macular edema,null,Phase 4 Clinical,C4,"triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",12937,105,bevacizumab; triamcinolone acetonide,105,null,"Multicenter, Randomized, Three Parallel-Groups to Estimate the Safety and Efficacy of Triamcinolone Acetonide Associated Laser, the Laser Associated Bevacizumab Versus Laser Alone for the Treatment of Diffuse Diabetic Macular Edema",ALBA2009; EudraCT 2009-014654-15,"Roche Holding AG, Sanofi SA",130318,"JULY     , 07, 2010",Recruiting
2,Forced expiratory volume in 1 s (FEV1); Peak expiratory flow (PEF),Asthma,null,Phase 3 Clinical,C3,"fluticasone furoate + vilanterol trifenatate  (oral inhalant, asthma/COPD), GlaxoSmithKline",59060,612,"fluticasone furoate (inhaled, respiratory disorders), GlaxoSmithKline; fluticasone furoate + vilanterol trifenatate  (oral inhalant, asthma/COPD), GlaxoSmithKline",609,null,Efficacy/Safety Study of Fluticasone Furoate/Vilanterol (GW-642444) in Adult and Adolescent Asthmatics,106827; 2010-019590-15; HZA106827; NCT01165138; P/119/2011,GlaxoSmithKline plc,68324,"AUGUST   , 20, 2010",Completed
1,null,Lichen,null,Phase 2b Clinical,C2B,"clobetasol propionate  patch (intraoral, bio-adhesive, oral lichen planus), Dermtreat Aps",111733,240,Rivelin-CLO,240,null,Intra-oral Treatment of OLP With Rivelin-CLO Patches,2017-002193-40; DT-001-R-004; NCT03592342,AFYX Therapeutics,346927,"JUNE     , 28, 2018",Recruiting
3,Dystrophin; Muscle; Six-minute walk distance,Duchenne dystrophy,deflazacort; prednisone,Phase 3 Clinical,C3,"deflazacort (oral tablet/suspension, Duchenne muscular dystrophy), PCT Therapeutics",86985,230,ataluren,230,ACT DMD,Phase III Study of Ataluren in Patients With Nonsense Mutation Duchenne Muscular Dystrophy,"2012-004527-20; 2017-001223-49; 431; 68; ACT DMD; IND Number Number: 68,431; NCT01826487; PTC124-GD-020-DMD",PTC Therapeutics Inc,119769,"MARCH    , 31, 2013",Completed
1,Intra-ocular pressure,Diabetic macular edema,null,Phase not specified,NS,"triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",12937,null,triamcinolone acetonide,null,null,"Randomized, Controlled Trial of Intravitreal Triamcinolone in Patients with Diabetic Macular edema Refractory to Laser Treatment",ISRCTN90614292; N0192133909,Department of Health,135441,"NOVEMBER , 28, 2003",Completed
1,null,Seasonal allergic rhinitis,null,Phase 3 Clinical,C3,"fluticasone furoate (nasal, allergic rhinitis), GSK",42259,288,fluticasone furoate,288,null,Once-Daily Investigational Nasal Spray In Adults And Adolescents With Seasonal Allergic Rhinitis (SAR),FFR104861; NCT00197262,GlaxoSmithKline plc,13577,"AUGUST   , 31, 2005",Completed
2,Intraocular pressure,Diabetic macular edema,null,Phase not specified,NS,"triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",12937,null,grid laser photocoagulation treatment; triamcinolone acetonide,null,null,The Safety and Efficacy of Combined Subtenon Triamcinolone and Grid Laser Photocoagulation as Primary Treatment for Diabetic Macular Edema - A Pilot Study,CUHK_CCT00130; ChiCTR-TRC-09000743,Chinese University of Hong Kong,135786,"JUNE     , 09, 2007",Completed
2,null,Seasonal allergic rhinitis,null,Phase 4 Clinical,C4,"fluticasone furoate (nasal, allergic rhinitis), GSK",42259,1000,fexofenadine; fluticasone furoate,1000,null,Fluticasone Furoate Nasal Spray Versus Oral Fexofenadine,2015-004885-27; FFU109045; NCT00435461,GlaxoSmithKline Inc,13581,"DECEMBER , 31, 2006",Completed
2,null,Seasonal allergic rhinitis,null,Phase 2 Clinical,C2,"budesonide + azelastine (intranasal Captisol-enabled, allergic rhinitis), Sedor Pharmaceuticals",62431,108,Astelin; CDX-313; Rhinocort Aqua,108,null,Compare Captisol-Enabled (CE) Budesonide + Azelastine Nasal Solution and Rhinocort Aqua + Astelin in an Environmental Exposure Chamber (EEC) Study of Allergic Rhinitis,CDX313CT001; NCT00940953; P2DS07001,Ligand Pharmaceuticals Inc,58894,"FEBRUARY , 29, 2008",Completed
2,Diastolic blood pressure; Forced Vital Capacity; Forced expiratory volume; Glucose; Heart rate; Peak expiratory flow rate; Potassium; Systolic blood pressure,Asthma,Pulmicort Turbuhaler; Serevent Diskus,Phase 2 Clinical,C2,"budesonide + salmeterol  (inhalation powder, respiratory diseases), Laboratoires SMB",78537,48,Busal,48,null,"A study to compare the blood concentration of budesonide and the bronchodilatory effect after administration of the following study drugs: Budesonide-Salmeterol DPI capsule 75-25 microg, Budesonide-Salmeterol DPI capsule 75-12.5 microg, Budesonide-Salmeterol DPI capsule 75-6.25 microg delivered by the Axahaler versus Serevent Diskus 50 microg + Pulmicort Turbuhaler 100 microg co-administration in asthmatic children",2017-003330-91; BUSAL-II-17-1,Laboratoires SMB SA,337272,"NOVEMBER , 29, 2017",Completed
1,Heart rate; Hydrocortisone; Potassium,Chronic obstructive pulmonary disease,null,Phase 2 Clinical,C2,"fluticasone furoate (inhaled, respiratory disorders), GlaxoSmithKline",57097,36,"GW-642444-M; fluticasone furoate (inhaled, respiratory disorders), GlaxoSmithKline",36,null,"An open-label, non-randomized, pharmacokinetic and safety study of repeat-doses of fluticasone furoate and GW-42444M combination in healthy subjects and in subjects with mild, moderate or severe hepatic impairment",2010-020157-13; HZA111789,GlaxoSmithKline plc,257760,"SEPTEMBER, 20, 2010",Terminated
1,Heart rate; Hydrocortisone; Potassium,Asthma,null,Phase 2 Clinical,C2,"fluticasone furoate (inhaled, respiratory disorders), GlaxoSmithKline",57097,36,"GW-642444-M; fluticasone furoate (inhaled, respiratory disorders), GlaxoSmithKline",36,null,"An open-label, non-randomized, pharmacokinetic and safety study of repeat-doses of fluticasone furoate and GW-42444M combination in healthy subjects and in subjects with mild, moderate or severe hepatic impairment",2010-020157-13; HZA111789,GlaxoSmithKline plc,257760,"SEPTEMBER, 20, 2010",Terminated
1,null,Perennial allergic rhinitis,null,Phase 3 Clinical,C3,"fluticasone furoate (nasal, allergic rhinitis), GSK",42259,65,GW-685698,65,null,Study Of Perennial Allergic Rhinitis,FFR100688; JapicCTI-050024; NCT00358475,GlaxoSmithKline plc,13878,"JUNE     , 30, 2005",Completed
2,Peak nasal inspiratory flow; Peak nasal inspiratory flow,Allergic rhinitis,fexofenadine,Phase 4 Clinical,C4,"fluticasone furoate (nasal, allergic rhinitis), GSK",42259,680,"fluticasone furoate (nasal, allergic rhinitis), GSK",680,null,Fluticasone Furoate Nasal Spray Versus Oral Fexofenadine,2015-004873-34; FFU109047; NCT00502775,GlaxoSmithKline Inc,13883,"AUGUST   , 31, 2007",Completed
2,Forced expiratory volume in 1 s,Asthma,fluticasone propionate,Phase 4 Clinical,C4,"beclomethasone dipropionate, (CFC-free), Teva",44414,49,"beclometasone (inhaled, CFC-free), Teva",30,null,Efficacy of Qvar Versus Flovent Diskus on Small Airways in Poorly Controlled Asthmatic Adolescents/Adult Patients,IXR-402-4-196; NCT00071552,"IVAX Research Inc, Teva Pharmaceutical Industries Ltd",22588,"JANUARY  , 31, 2004",Terminated
2,Eosinophils; FEV1,Chronic obstructive pulmonary disease,vilanterol,Phase 3 Clinical,C3,"fluticasone furoate + vilanterol trifenatate  (oral inhalant, asthma/COPD), GlaxoSmithKline",59060,1626,fluticasone furoate + vilanterol trifenatate,1626,null,A Study to Evaluate the Efficacy and Safety of Fluticasone Furoate (FF)/GW-642444 Inhalation Powder in Subjects With Chronic Obstructive Pulmonary Disease (COPD),102871; HZC102871; NCT01009463,"Glaxo Group Research Ltd, GlaxoSmithKline plc",61703,"SEPTEMBER, 25, 2009",Completed
2,Forced expiratory volume; Peak expiratory flow rate,Asthma,null,Phase 3 Clinical,C3,"salmeterol xinafoate + fluticasone propionate (inhaled/Spiromax, asthma), Teva",95991,625,Airexar Spiromax; fluticasone,1363,null,Study of Fluticasone Propionate MDPI Compared With Fluticasone/Salmeterol MDPI in Adolescent and Adult Patients With Persistent Asthma,2014-001149-25; FSS-AS-301; NCT02139644,Teva Pharmaceutical Industries Ltd,187642,"MAY      , 31, 2014",Completed
3,Forced expiratory volume; Glucose; PR interval; Peak expiratory flow rate; QRS complex; QT interval,Asthma,fluticasone furoate,Phase 3 Clinical,C3,"fluticasone furoate + vilanterol trifenatate  (oral inhalant, asthma/COPD), GlaxoSmithKline",59060,870,ELLIPTA dry powder inhaler; Ellipta,870,null,Safety and Efficacy Study of Fluticasone Furoate/Vilanterol (FF/VI) Fixed Dose Combination (FDC) Compared to FF Alone in Subjects With Asthma,107116; 2016-004086-87; CTR20181312; HZA107116; JapicCTI-183937; NCT03248128,"Glaxo Group Research Ltd, GlaxoSmithKline plc",308779,"OCTOBER  , 20, 2017",Recruiting
3,null,Blepharoconjunctivitis,AzaSite; dexamethasone,Phase 3 Clinical,C3,"azithromycin + dexamethasone (sustained release, DuraSite), InSite",55854,null,AzaSite Plus,null,null,Comparative Study of AzaSite Plus Compared to AzaSite Alone and Dexamethasone Alone to Treat Subjects With Blepharoconjunctivitis,C-07-502-003; NCT00754949,InSite Vision Inc,28944,"SEPTEMBER, 16, 2008",Terminated
3,FEV1; Heart rate; Plasma glucose; Plasma potassium,Asthma,null,Phase 2 Clinical,C2,"beclomethasone dipropionate, (CFC-free), Teva",44414,60,AeroChamber Plus; Foster; Qvar; formoterol fumarate (Atimos),60,ADO pMDI,Single-Dose Clinical Pharmacology Study in Asthmatic Adolescent and Adult Patients,2011-005108-14; ADO pMDI; CCD-1104-PR-0062; NCT01803087,Chiesi Farmaceutici SpA,113665,"FEBRUARY , 29, 2012",Completed
2,null,Asthma,null,Phase not specified,NS,"beclomethasone dipropionate, (CFC-free), Teva",44414,85,"beclometasone (inhaled, CFC-free), Teva; budesonide",85,null,To Compare the Clinical Effects of Beclomethasone Dipropionate MDI With Spacer and Budesonide MDI With Spacer in the Treatment of Children With Mild Persistent Asthma Aged 7 to 15 Years,CTRI/2013/03/003495,"Department of Pharmacology, PGIMER",156545,"NOVEMBER , 04, 2011",Completed
1,null,Age related macular degeneration,null,Phase 1 Clinical,C1,"fluocinolone acetonide (intraocular implant), Alimera/pSivida",52822,16,fluocinolone acetonide,16,null,Fluocinolone implant to treat macular degeneration,01-EI-0058; 010058; NCT00008515,National Eye Institute,4710,"JANUARY  , 31, 2001",Completed
2,Retina,Diabetic macular edema,null,Phase not specified,NS,"triamcinolone acetonide (intravitreal injection, diabetic macular edema), Wakamoto/ Hanmi",81991,60,triamcinolone acetonide; vitrectomy,60,null,Vitrectomy combined with IVTA for DME,UMIN000017250,Tohoku University,228441,"MAY      , 01, 2015",Not yet recruiting
2,Carbon monoxide diffusing capacity,Chronic obstructive pulmonary disease,null,Phase 2 Clinical,C2,"fluticasone furoate (inhaled, respiratory disorders), GlaxoSmithKline",57097,95,Anoro Ellipta; Arnuity Ellipta; hyper polarized xenon-129 MRI,95,null,Hyperpolarized Xenon-129 MRI: a New Multi-dimensional Biomarker to Determine Pulmonary Physiologic Responses to COPD Therapeutics,19352; NCT03002389,University of Virginia,283200,"NOVEMBER , 05, 2017",Recruiting
4,null,Chalazion,null,Phase 3 Clinical,C3,"triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",12937,120,"5-fluorouracil; 5-fluorouracil; incision and curettage; triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi; triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",120,CTS,Chalazia Treatment Study,42336; 42336-D; CTS; NCT02025023; STUDY00003748,University of Washington,165479,"DECEMBER , 31, 2013",Recruiting
3,FEV1,Chronic obstructive pulmonary disease,null,Phase 3 Clinical,C3,"fluticasone furoate (inhaled, respiratory disorders), GlaxoSmithKline",57097,1226,GW-642444; Relovair; fluticasone furoate,1224,null,Efficacy and Safety Study of Fluticasone Furoate(FF)/GW-642444 Inhalation Powder and the Individual Components in Subjects With Chronic Obstructive Pulmonary Disease (COPD),112207; 2009-013067-19; HZC112207; JapicCTI-101097; NCT01054885,GlaxoSmithKline plc,63564,"OCTOBER  , 19, 2009",Completed
3,Cortisol; FEV1,Chronic obstructive pulmonary disease,null,Phase 3 Clinical,C3,"fluticasone furoate + vilanterol trifenatate  (oral inhalant, asthma/COPD), GlaxoSmithKline",59060,1031,GW-642444; Relovair; fluticasone furoate,1030,null,A 6-Month Study to Evaluate the Efficacy and Safety of Fluticasone Furoate(FF)/GW-642444 Inhalation Powder in Subjects With Chronic Obstructive Pulmonary Disease (COPD),112206; HZC112206; JapicCTI-101096; NCT01053988,GlaxoSmithKline plc,63573,"OCTOBER  , 05, 2009",Completed
1,null,Xerophthalmia,null,Phase 2 Clinical,C2,"mapracorat (ophthalmic, ocular inflammation), Bausch & Lomb",56108,350,BOL-303242X,350,null,Study to Assess the Safety and Efficacy of BOL-303242X Ophthalmic Suspension in Dry Eye Syndrome,637; EudraCT: 2010-018441-61; NCT01163643,Bausch & Lomb Inc,68287,"JULY     , 31, 2010",Completed
3,null,Chronic obstructive pulmonary disease,null,Phase 1 Clinical,C1,"budesonide + formoterol (inhalant aerosol, chronic obstructive pulmonary disease), Pearl Therapeutics",70143,59,PT-009; PT-010; Symbicort Turbohaler,72,null,Pharmacokinetics and Safety Study of PT-010 in Healthy Subjects,NCT02189304; PT010002-00,Pearl Therapeutics Inc,204168,"JUNE     , 01, 2014",Completed
1,null,Dermatitis,null,Phase 4 Clinical,C4,"clobetasol propionate foam, Connetics",18168,30,clobetasol propionate,30,null,"Study to Evaluate Safety, Efficacy and Tolerability of Clobetasol Propionate for Chronic Dermatitis",NCT00828464; U0280-401,Stiefel,55280,"OCTOBER  , 31, 2008",Completed
